field,description
project_id,Unique project identifier
scheme,Housing scheme
project_name,Official/project name
district,District
pbt,Local authority
mukim,Mukim
developer,Developer
category,Housing category
house_type,Unit/property type
units,Verified unit count
price_min_rm,Minimum verified price
price_max_rm,Maximum verified price
status,Project status
progress_pct,Verified construction progress
expected_completion,Expected completion year/date
completed_year,Completion year
latitude,Verified latitude
longitude,Verified longitude
location_precision,Coordinate verification note
source_id,Audit-trail source id
source_date,Source date
verification,Verification note
