project_id,scheme,project_name,district,pbt,mukim,developer,category,house_type,units,price_min_rm,price_max_rm,status,progress_pct,expected_completion,completed_year,latitude,longitude,location_precision,source_id,source_date,verification
IDM-C-001,Rumah Idaman Selangor,Idaman Kajang 2,,,,,E Khas,,,,250000,Siap Dibina,100,,,,,belum disahkan,SRC-DUN-IDAMAN-2026,2026-04,Nama projek & status rasmi; unit individu belum tersedia
IDM-C-002,Rumah Idaman Selangor,Idaman BSP,,,,,E Khas,,,,250000,Siap Dibina,100,,,,,belum disahkan,SRC-DUN-IDAMAN-2026,2026-04,Nama projek & status rasmi; unit individu belum tersedia
IDM-C-003,Rumah Idaman Selangor,Idaman Bukit Jelutong,,,,Nadi Emery Sdn Bhd,E Khas,Pangsapuri,,250000,250000,Siap Dibina,100,,,,,belum disahkan,SRC-DUN-IDAMAN-2026,2026-04,"Nama projek & status rasmi; butiran pemaju/harga disokong laman projek, unit individu tidak digunakan dalam KPI"
IDM-C-004,Rumah Idaman Selangor,Idaman Melur,,,,,E Khas,,,,250000,Siap Dibina,100,,,2.86579,101.655352,koordinat laman projek (bukan LPHS),SRC-DUN-IDAMAN-2026,2026-04,Status rasmi; koordinat sokongan laman projek bukan sumber LPHS
IDM-C-005,Rumah Idaman Selangor,Idaman Taman Air Manis,,,,,E Khas,,,,250000,Siap Dibina,100,,,,,belum disahkan,SRC-DUN-IDAMAN-2026,2026-04,Nama projek & status rasmi; unit individu belum tersedia
IDM-C-006,Rumah Idaman Selangor,Idaman Cahaya,,,,,E Khas,,,,250000,Siap Dibina,100,,,,,belum disahkan,SRC-DUN-IDAMAN-2026,2026-04,Nama projek & status rasmi; unit individu belum tersedia
IDM-U-001,Rumah Idaman Selangor,Idaman Kwasa / Kwasa Land (MBSA),Petaling,MBSA,,,E Khas,Pangsapuri,4694,250000,250000,Dalam Pembinaan,,Plot 1: 2027; Plot 2: 2029,,,,daerah rasmi; koordinat projek belum disahkan,SRC-IDAMAN-PIPELINE-2026,2026-05,"Rasmi 2026: 4,694 unit (Plot 1 1,669; Plot 2 3,025)"
IDM-U-002,Rumah Idaman Selangor,Idaman Elmina,Petaling,,,,E Khas,Pangsapuri,3138,250000,250000,Dalam Pembinaan,,2027,,,,daerah rasmi; koordinat projek belum disahkan,SRC-IDAMAN-PIPELINE-2026,2026-05,Rasmi 2026
IDM-U-003,Rumah Idaman Selangor,Idaman Greenwoods / Paramount Greenwoods,Sepang,,,,E Khas,Pangsapuri,1076,250000,250000,Dalam Pembinaan,,2027,,,,daerah rasmi; koordinat projek belum disahkan,SRC-IDAMAN-PIPELINE-2026,2026-05,Rasmi 2026
IDM-U-004,Rumah Idaman Selangor,Idaman Abadi Heights,Sepang,,,,E Khas,Pangsapuri,513,250000,250000,Dalam Pembinaan,,2026,,,,daerah rasmi; koordinat projek belum disahkan,SRC-IDAMAN-PIPELINE-2026,2026-05,Rasmi 2026
IDM-U-005,Rumah Idaman Selangor,Idaman Saujana / Myra Saujana,Sepang,,,,E Khas,Pangsapuri,858,250000,250000,Dalam Pembinaan,,2027,,,,daerah rasmi; koordinat projek belum disahkan,SRC-IDAMAN-PIPELINE-2026,2026-05,Rasmi 2026
IDM-U-006,Rumah Idaman Selangor,Idaman Putra / Desa Pinggiran Putra,Sepang,,,,E Khas,Pangsapuri,502,250000,250000,Dalam Pembinaan,,2027,,,,daerah rasmi; koordinat projek belum disahkan,SRC-IDAMAN-PIPELINE-2026,2026-05,Rasmi 2026
IDM-U-007,Rumah Idaman Selangor,Idaman Alam / Alam Perdana,Kuala Selangor,,,,E Khas,Pangsapuri,1048,250000,250000,Dalam Pembinaan,,2027,,,,daerah rasmi; koordinat projek belum disahkan,SRC-IDAMAN-PIPELINE-2026,2026-05,Rasmi 2026
IDM-U-008,Rumah Idaman Selangor,Idaman Pekan Bangi Lama,Hulu Langat,,,,E Khas,Pangsapuri,1176,250000,250000,Dalam Pembinaan,,2028,,,,daerah rasmi; koordinat projek belum disahkan,SRC-IDAMAN-PIPELINE-2026,2026-05,Rasmi 2026
IDM-U-009,Rumah Idaman Selangor,Idaman Serene Heights / UEM Serene Heights,Hulu Langat,,,,E Khas,Pangsapuri,1076,250000,250000,Dalam Pembinaan,,2028,,,,daerah rasmi; koordinat projek belum disahkan,SRC-IDAMAN-PIPELINE-2026,2026-05,Rasmi 2026
RSKU-2026-001,Rumah Selangorku,Pangsapuri Indah Selangorku (Rizab Melayu),Sepang,,Labu,Hartawan Park Sdn Bhd,Jenis D,Apartmen,,235000,235000,Penawaran Terbuka / Terus / Bebas,,,,,,mukim/daerah rasmi; koordinat belum disahkan,SRC-LPHS-RSKU-JAN2026,2026-01-15,Rekod projek rasmi LPHS 15 Jan 2026
